PKN,BIN,BIG,IPA,IPS,MTK,PJO
86,84,85,85,85,85,92
82,79,78,80,78,79,80
84,89,85,88,88,80,83
81,79,76,79,78,78,77
75,77,76,81,77,76,75
81,78,77,76,75,77,75
95,96,94,91,90,93,92
82,79,82,82,82,81,80
87,94,92,94,89,88,82
89,95,91,92,88,91,93
88,95,88,88,92,86,92
77,78,76,79,82,79,78
81,80,76,84,80,76,75
82,80,75,81,81,75,76
80,87,78,80,77,77,80
82,91,80,81,80,78,79
79,83,86,79,77,78,75
90,90,85,86,90,87,93
82,92,86,79,77,83,79
79,76,76,76,76,79,76
78,89,77,84,83,78,80
80,81,78,86,75,80,77
82,87,81,81,79,83,80
81,90,83,87,80,79,80
96,96,93,94,94,92,98
80,79,80,79,81,80,78
83,80,81,82,82,84,82
94,92,95,95,93,91,94
94,91,93,90,95,93,97
81,79,81,80,79,80,75
82,84,80,77,82,81,80
90,93,94,93,94,94,94
79,76,81,79,76,78,75
85,91,86,83,93,93,90
96,97,97,96,92,93,98
81,77,84,79,76,77,75
81,82,88,80,83,78,75
93,93,92,93,94,90,94
80,78,78,76,76,77,76
81,76,84,80,78,80,78
82,80,76,76,77,79,77
90,87,86,89,85,86,94
87,90,89,86,94,85,91
84,90,84,80,84,84,79
96,97,94,95,96,93,98
90,91,91,90,93,87,95
90,91,90,87,88,90,93
79,84,77,82,76,77,76
96,95,93,95,92,91,96
84,87,87,84,85,84,75
87,90,92,90,92,88,93
78,76,78,78,78,75,77
82,82,87,85,78,82,81
82,85,81,79,77,85,80
84,85,87,86,76,81,76
81,80,79,78,77,76,75
87,93,85,93,85,86,93
87,87,91,83,90,84,86
86,85,91,90,92,89,93
80,81,78,76,75,76,76
81,77,78,83,78,78,75
83,89,89,84,80,82,78
90,91,92,92,93,91,98
82,84,82,87,84,86,87
98,97,98,96,97,97,93
80,77,78,77,75,77,77
85,90,79,89,82,78,81
82,86,84,85,87,81,82
83,84,85,88,84,84,84
96,96,96,96,97,94,91
80,78,79,76,77,78,76
85,90,82,84,88,85,79
81,78,77,79,75,77,75
96,93,93,89,92,89,92
84,87,83,87,86,88,79
83,82,80,83,82,79,78
85,96,91,93,95,97,86
93,89,91,89,91,84,93
82,88,79,80,80,86,80
78,86,79,80,79,77,78
81,79,77,81,79,81,78
94,96,97,95,96,94,94
96,92,93,91,92,88,94
80,77,76,76,77,77,76
80,83,93,87,80,81,86
82,77,79,82,77,81,81
78,80,80,79,81,79,80
81,81,76,78,79,79,75
92,95,93,92,95,89,94
79,78,77,80,79,79,78
88,89,93,90,93,89,98
92,93,92,93,96,94,94
89,90,94,90,94,88,94
84,81,82,83,82,79,76
82,80,86,83,79,79,76
81,86,80,84,78,78,79
81,79,83,84,79,85,82
92,94,95,92,92,93,95
83,78,76,76,79,77,75
84,86,81,80,85,81,80
93,97,93,95,94,95,93
79,79,76,75,76,77,75
82,86,84,79,78,77,79
88,92,93,90,93,89,93
82,80,83,81,83,81,85
88,89,85,85,85,83,92
89,90,90,84,90,89,92
87,93,89,88,91,84,88
81,83,81,84,83,83,84
79,84,85,88,80,80,79
82,91,84,90,80,85,80
95,88,85,85,85,86,93
77,76,77,75,76,75,75
80,84,86,80,77,76,76
83,90,85,91,84,82,80
80,81,75,80,81,75,78
86,93,84,92,85,86,83
83,79,83,83,80,77,79
82,91,87,86,80,83,79
79,89,89,88,77,79,80
88,92,86,89,85,86,90
81,91,84,83,88,84,88
86,87,85,82,86,80,77
87,90,88,87,86,84,91
87,87,88,81,86,87,89
88,88,88,96,91,87,82
90,94,94,91,92,87,91
83,88,83,79,77,77,78
83,90,91,89,78,78,79
84,95,83,89,84,83,81
84,81,84,79,83,79,76
81,78,80,76,77,80,75
83,85,77,86,78,80,78
82,82,81,84,82,82,82
78,75,81,81,80,80,77
81,85,83,78,78,82,79
88,88,85,85,86,84,92
87,90,93,86,89,85,89
88,89,90,89,88,87,92
80,79,78,78,78,80,78
90,89,85,89,86,85,91
86,83,85,93,78,81,75
90,87,92,90,92,89,93
80,80,77,80,77,79,80
92,90,86,94,85,85,92
83,80,82,80,82,80,76
90,91,93,90,94,89,94
94,96,95,94,95,85,93
93,90,88,93,93,87,94
77,76,76,80,77,77,75
81,78,79,75,77,76,75
81,89,77,79,83,79,79
80,87,86,80,79,80,80
84,85,90,90,91,88,94
83,86,80,81,82,86,83
81,80,80,80,77,77,77
79,78,79,79,77,78,77
88,84,85,85,87,85,93
83,83,80,85,80,84,85
91,93,96,91,94,89,88
90,87,85,87,83,82,92
89,92,87,89,95,90,94
84,88,85,86,82,78,78
80,80,76,79,78,75,75
81,80,77,78,75,78,75
80,82,76,80,80,80,76
95,97,93,96,98,93,90
80,80,81,78,76,76,77
75,80,76,79,80,77,78
98,94,94,95,95,95,95
83,90,86,86,82,80,80
90,92,92,91,93,89,78
80,79,81,80,81,79,77
80,80,81,80,77,81,80
80,78,76,76,77,75,76
92,91,93,91,94,91,93
98,96,95,95,97,96,93
81,85,84,79,77,80,78
76,81,88,79,80,77,77
82,79,84,80,76,84,79
81,80,85,83,81,80,83
79,80,76,84,77,76,76
82,89,86,82,83,83,79
80,80,77,79,81,76,77
77,76,75,76,77,76,75
88,88,85,87,84,85,94
87,89,90,89,90,91,94
91,87,93,91,91,90,93
81,77,81,80,80,78,78
89,89,90,83,88,82,94
87,88,90,89,88,90,94
83,79,80,77,77,77,75
90,92,88,90,91,91,93
77,80,76,79,82,76,77
91,92,89,90,91,91,92
81,81,76,86,77,77,75
75,76,81,75,75,76,77
88,83,82,86,86,86,86
80,78,78,78,77,78,78
97,96,94,93,93,92,98
95,91,93,91,93,87,92
90,95,91,93,93,90,94
94,96,94,96,93,93,93
91,90,92,90,92,88,91
89,93,85,88,86,83,91
90,90,90,89,86,89,92
87,93,92,95,88,89,81
83,93,92,91,83,91,83
85,78,84,84,82,84,77
96,95,97,95,95,97,95
80,82,81,81,82,79,77
92,92,95,91,93,91,93
83,91,91,87,86,86,82
82,83,77,79,85,81,81
79,77,76,80,77,77,76
80,84,79,76,83,76,85
83,89,88,81,80,83,79
84,91,88,86,85,85,86
85,86,82,86,90,87,84
77,76,81,78,75,76,78
83,90,85,83,82,84,86
86,85,86,85,82,88,75
78,79,86,77,75,79,77
88,90,90,90,94,89,91
83,90,90,86,85,90,77
97,92,95,95,95,92,92
84,82,83,80,78,78,89
94,95,91,94,85,89,90
76,75,79,79,77,76,75
80,82,76,75,75,75,76
91,93,92,90,93,89,84
92,94,97,93,94,88,91
89,79,79,77,80,78,77
83,80,79,82,81,77,75
87,95,88,92,94,94,84
80,86,78,78,81,79,79
77,79,77,76,76,78,76
81,80,80,81,83,79,81
83,80,91,88,79,76,76
98,97,96,97,98,97,93
84,80,84,80,78,78,85
80,88,79,76,76,80,78
90,90,85,88,85,86,93
83,87,84,84,84,81,76
80,91,91,82,79,82,80
79,76,80,82,75,80,75
83,81,78,79,77,81,79
82,80,78,79,77,78,77
96,91,93,93,95,93,93
84,89,84,85,86,84,76
81,90,79,85,78,83,85
83,80,82,81,80,83,84
90,93,93,93,94,88,95
79,83,88,82,77,78,78
80,86,79,78,80,80,80
93,96,91,95,94,92,94
85,81,82,79,83,81,80
90,85,90,91,92,88,95
80,77,82,78,80,78,77
82,90,88,90,82,79,77
83,91,86,86,84,84,80
77,77,79,80,76,78,76
88,92,88,92,90,87,92
92,91,94,95,93,94,90
83,92,86,86,85,83,83
94,94,92,96,95,93,94
81,81,79,78,82,79,80
83,85,85,90,83,89,87
81,85,78,85,85,78,75
88,97,90,95,93,88,92
94,96,94,94,92,93,93
96,95,93,90,95,93,94
81,90,84,91,80,85,80
84,86,78,85,84,76,75
76,76,76,79,78,77,77
80,76,77,75,77,78,75
82,92,84,85,84,89,84
91,96,93,94,93,95,92
81,78,81,79,80,81,80
91,90,94,90,88,95,94
90,90,90,88,95,85,94
78,75,83,81,75,76,75
81,79,79,79,76,79,75
86,91,87,85,80,86,79
87,94,88,90,91,85,94
82,78,81,82,79,82,77
86,90,90,90,93,88,91
79,76,79,79,77,76,77
87,96,87,91,90,87,82
97,97,94,95,96,94,94
90,90,90,90,92,90,93
80,81,76,78,75,77,75
81,76,81,84,81,80,77
94,96,90,91,92,91,93
95,92,94,95,95,90,90
80,80,79,78,76,77,75
76,78,76,85,79,76,77
85,84,85,81,85,80,80
94,93,88,89,93,85,94
94,95,93,92,93,89,90
79,78,76,82,75,76,75
87,94,92,95,85,84,83
82,83,81,85,83,84,85
84,96,92,88,93,94,80
78,80,81,81,82,78,81
81,79,75,79,78,81,79
77,77,75,81,77,77,76
81,79,79,79,82,82,80
85,89,86,85,88,78,78
86,90,85,93,85,86,80
79,79,82,79,81,80,81
81,82,86,77,79,78,75
82,79,79,83,80,78,83
82,81,77,88,77,79,75
80,79,76,76,75,76,75
91,88,90,87,88,89,92
84,85,83,87,81,81,78
78,77,76,76,75,76,75
88,89,92,90,93,89,90
80,80,77,81,81,79,81
80,90,86,80,80,79,79
84,90,91,88,82,82,80
79,77,83,77,77,76,77
80,77,80,78,77,78,76
92,95,92,91,95,88,93
81,81,75,80,80,82,79
88,87,85,89,92,86,92
82,79,77,81,82,80,78
80,85,77,78,77,77,79
84,83,87,87,82,79,82
92,94,90,88,88,91,94
91,90,93,91,94,86,95
83,86,80,88,83,85,82
81,79,76,76,75,76,75
84,90,84,82,86,85,80
79,76,79,76,76,76,77
80,89,81,80,76,80,77
89,89,90,89,92,91,93
83,79,82,83,83,83,82
94,95,92,92,91,87,94
79,80,76,75,75,76,75
89,86,79,87,86,84,87
86,95,87,79,83,85,81
92,93,97,91,95,91,92
86,82,80,78,76,80,75
98,95,96,91,96,89,92
81,78,76,76,76,76,75
90,87,88,90,90,84,93
82,77,83,83,80,79,77
77,75,81,79,80,76,77
79,75,81,78,75,75,75
83,85,79,80,78,79,80
83,77,83,80,82,78,79
90,87,85,85,90,84,90
81,86,78,78,78,84,79
89,93,93,86,80,82,81
77,75,81,79,75,76,75
80,80,91,81,81,83,78
79,78,78,78,77,79,76
84,82,87,82,83,84,82
79,83,80,84,76,77,77
80,84,83,79,79,76,75
75,78,79,78,80,76,77
95,92,85,93,88,85,90
95,96,90,90,95,93,91
87,95,92,93,90,89,85
85,91,82,84,88,86,81
75,85,77,80,81,78,77
81,77,77,75,75,75,77
86,93,84,87,85,84,81
92,95,92,89,88,85,92
97,93,94,92,95,87,92
83,93,85,86,81,81,82
81,78,76,82,80,76,75
82,77,78,78,76,82,78
79,76,83,79,75,77,75
80,81,82,80,83,83,82
78,88,83,83,85,77,78
82,89,78,81,84,81,83
94,94,92,92,94,88,90
83,81,79,85,82,79,79
89,90,91,92,86,89,92
78,77,81,78,81,78,78
79,93,88,89,78,79,78
76,76,77,80,78,75,77
79,84,92,80,77,78,77
88,86,90,92,85,84,90
92,91,90,91,92,91,95
92,97,92,95,98,92,90
81,77,75,76,76,78,77
84,80,81,87,80,83,82
94,90,96,94,94,92,91
83,90,79,80,83,80,86
92,95,95,92,94,92,90
82,87,82,81,82,78,75
80,82,77,79,81,76,80
85,96,93,92,87,92,86
92,97,93,96,90,90,92
86,83,82,85,85,86,83
91,90,93,91,94,90,90
81,76,79,75,77,77,77
83,85,83,82,85,83,77
80,84,81,83,80,77,78
91,96,91,91,97,89,94
81,76,79,79,76,78,77
85,82,85,88,87,81,78
84,83,90,87,75,85,75
77,76,75,75,76,77,77
84,84,78,84,80,87,84
85,84,81,81,83,82,86
77,88,82,82,77,76,79
82,83,80,83,80,82,82
81,83,86,79,81,83,80
90,92,90,90,93,88,90
