PKN,BIN,BIG,IPA,IPS,MTK,PJO
83,87,80,82,84,82,85
80,83,92,81,75,78,78
79,84,77,84,87,82,84
83,80,82,82,84,77,82
83,84,80,81,82,77,80
81,81,79,76,77,79,76
94,96,92,95,96,95,91
89,91,94,91,90,90,93
94,92,90,92,93,88,94
90,90,93,90,88,90,93
82,77,81,82,82,82,80
91,90,94,92,92,89,90
83,92,89,89,85,90,83
88,96,94,92,88,88,93
85,86,82,86,87,83,77
85,90,83,89,82,84,89
81,76,75,78,77,77,77
80,82,78,80,81,78,80
84,85,90,89,90,87,94
88,89,88,92,89,86,92
81,92,85,87,78,76,78
82,80,76,83,79,79,79
80,89,78,85,83,80,78
75,76,81,77,75,78,76
95,93,93,90,92,91,93
83,79,81,81,81,77,79
87,95,94,89,86,87,92
87,91,89,90,84,85,77
81,79,76,82,76,77,75
96,94,94,90,92,89,91
82,80,83,79,84,80,80
96,96,94,96,96,95,90
79,78,79,77,76,81,75
94,94,94,96,96,96,96
91,96,89,95,94,90,92
86,90,95,83,85,84,85
88,89,89,85,85,84,92
86,86,79,85,88,85,89
91,95,93,92,96,89,94
80,88,89,79,77,78,79
88,92,91,90,93,91,93
78,76,81,82,81,78,77
77,78,80,79,80,76,77
81,76,76,75,75,77,77
95,96,97,96,96,94,94
79,76,77,77,78,79,75
82,86,85,91,82,79,77
80,79,77,75,75,76,75
81,79,79,84,79,76,75
77,78,76,75,76,76,76
81,80,75,80,81,75,77
82,87,80,85,83,80,75
97,95,95,95,95,92,98
80,80,76,76,79,80,76
82,79,76,78,77,79,78
85,89,87,79,83,82,80
88,97,85,90,92,91,82
88,89,80,79,82,79,75
85,89,86,88,79,79,76
81,78,82,82,80,80,79
89,89,85,90,86,83,92
81,79,86,83,80,83,83
87,90,90,86,83,83,80
80,78,77,76,78,76,76
75,79,76,79,80,79,77
78,86,77,82,75,76,76
80,88,83,83,80,78,79
82,78,80,81,79,79,78
77,78,79,79,82,78,77
79,80,76,76,76,76,75
83,84,87,88,75,80,75
75,82,75,81,81,75,77
83,86,81,79,82,78,85
80,77,78,77,76,78,77
85,97,92,83,94,99,82
84,81,78,77,78,79,77
81,76,79,82,80,77,77
81,77,76,76,77,77,76
88,94,92,96,94,95,95
75,77,76,79,80,77,77
79,80,80,78,80,78,81
98,96,95,96,95,96,96
98,93,93,90,94,89,96
88,91,85,89,93,85,92
81,77,80,81,79,80,79
92,93,94,95,94,94,91
83,89,89,88,83,86,79
85,90,90,81,84,87,89
86,82,82,83,78,80,83
80,80,81,81,80,77,75
78,87,86,78,84,84,84
87,84,80,86,83,81,86
80,81,79,77,76,76,76
85,94,95,90,87,85,78
80,96,90,81,81,82,79
75,75,76,79,77,76,75
91,90,92,90,92,85,92
81,83,83,88,85,85,83
77,77,78,76,77,77,75
82,82,76,80,77,76,75
86,95,95,95,89,94,83
82,87,89,92,82,78,76
85,86,92,90,83,80,85
81,90,83,85,85,80,81
82,86,84,85,87,81,82
84,86,89,81,79,79,78
98,96,96,96,96,95,94
84,94,89,90,91,88,84
81,84,84,86,78,86,78
92,91,93,93,96,91,91
83,85,80,88,80,82,75
84,85,90,90,91,86,82
87,81,79,83,86,82,82
92,91,92,92,94,90,90
90,90,91,92,93,90,92
96,95,95,95,95,90,97
85,79,84,80,84,84,83
81,76,78,77,77,78,77
92,94,94,90,92,93,94
94,92,93,90,91,91,91
90,90,91,87,88,93,92
77,80,76,79,77,82,78
83,79,78,83,83,80,80
80,77,76,75,77,75,75
82,94,90,90,89,83,81
84,91,88,91,90,81,79
91,97,89,96,95,94,94
81,80,80,84,78,77,77
84,92,81,89,86,87,83
87,92,86,90,87,81,79
79,76,75,76,76,77,76
82,80,77,80,81,78,81
79,85,77,80,83,79,78
87,82,79,83,81,82,83
89,89,86,89,85,84,92
84,84,82,86,80,83,80
79,76,79,79,77,76,77
81,90,89,83,90,86,86
81,80,78,82,78,75,75
81,89,77,86,82,80,81
79,78,76,75,75,75,76
81,77,79,77,80,76,77
89,90,91,89,86,84,91
90,80,79,82,84,80,82
75,77,78,75,75,76,75
80,81,77,82,77,79,82
84,91,88,89,87,85,78
81,76,76,77,78,79,77
84,84,88,85,80,76,75
91,94,93,92,92,92,92
96,96,92,95,97,95,94
88,94,94,89,86,86,92
86,82,81,86,80,79,81
83,90,83,85,81,80,85
83,77,82,82,79,80,78
77,77,77,76,75,77,77
90,93,90,83,88,86,92
89,88,85,89,88,85,94
92,96,94,92,96,91,94
89,90,91,84,87,87,89
89,95,87,90,93,88,92
82,82,83,79,82,81,79
90,93,95,92,94,90,91
82,78,80,81,79,79,78
85,93,92,89,87,87,85
80,77,76,76,75,77,75
83,85,80,78,77,78,75
93,91,91,90,88,85,93
89,91,88,88,88,85,93
84,92,88,86,83,86,82
86,86,91,89,88,87,97
81,77,76,79,75,77,75
82,79,81,77,75,77,77
89,89,90,88,94,90,92
84,89,94,93,81,89,80
80,90,80,83,85,75,80
81,78,80,80,78,78,75
90,90,90,90,92,84,91
81,79,81,80,77,78,77
91,91,85,90,85,86,93
90,89,88,88,92,89,92
